Statistical profiling result from isolate-0x105800000-v8.log, (71385 ticks, 5238 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     11    0.0%    0.0%  T v8::internal::interpreter::InterpreterCompilationJob::FinalizeJobImpl()
     11    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayWriter::ToBytecodeArray(v8::internal::Isolate*, int, int, v8::internal::Handle<v8::internal::FixedArray>)
     11    0.0%    0.0%  T v8::internal::Runtime_RegExpReplace(int, v8::internal::Object**, v8::internal::Isolate*)
     11    0.0%    0.0%  T v8::internal::Heap::IncrementalMarkingLimitReached()
     11    0.0%    0.0%  T _fputs
     10    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseUnaryExpression(bool*)
     10    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseStatementList(v8::internal::ZoneList<v8::internal::Statement*>*, int, bool, bool*)
     10    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::GetUnexpectedTokenMessage(v8::internal::Token::Value, v8::internal::MessageTemplate::Template*, v8::internal::Scanner::Location*, char const**, v8::internal::MessageTemplate::Template)
     10    0.0%    0.0%  t v8::internal::(anonymous namespace)::InstallUnoptimizedCode(v8::internal::CompilationInfo*)
     10    0.0%    0.0%  t v8::internal::(anonymous namespace)::CompileToplevel(v8::internal::CompilationInfo*)
     10    0.0%    0.0%  t v8::Maybe<bool> v8::internal::CompiledReplacement::ParseReplacementPattern<unsigned char const>(v8::internal::ZoneList<v8::internal::CompiledReplacement::ReplacementPart>*, v8::internal::Vector<unsigned char const>, v8::internal::FixedArray*, int, int, v8::internal::Zone*)
     10    0.0%    0.0%  T v8::internal::interpreter::BytecodeRegisterOptimizer::Flush()
     10    0.0%    0.0%  T v8::internal::interpreter::BytecodeRegisterOptimizer::AddToEquivalenceSet(v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*, v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*)
     10    0.0%    0.0%  T v8::internal::WeakFixedArray::Set(v8::internal::Handle<v8::internal::WeakFixedArray>, int, v8::internal::Handle<v8::internal::HeapObject>)
     10    0.0%    0.0%  T v8::internal::StackFrameIteratorBase::StackFrameIteratorBase(v8::internal::Isolate*, bool)
     10    0.0%    0.0%  T v8::internal::SourcePositionTableBuilder::AddEntry(v8::internal::PositionTableEntry const&)
     10    0.0%    0.0%  T v8::internal::Parser::PatternRewriter::VisitVariableProxy(v8::internal::VariableProxy*)
     10    0.0%    0.0%  T v8::internal::Parser::ParseProgram(v8::internal::Isolate*, v8::internal::ParseInfo*)
     10    0.0%    0.0%  T v8::internal::Log::MessageBuilder::WriteToLogFile()
     10    0.0%    0.0%  T v8::internal::JSReceiver::OrdinaryToPrimitive(v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::OrdinaryToPrimitiveHint)
     10    0.0%    0.0%  T v8::internal::HashTable<v8::internal::CompilationCacheTable, v8::internal::CompilationCacheShape>::FindEntry(v8::internal::Isolate*, v8::internal::HashTableKey*)
     10    0.0%    0.0%  T v8::internal::AstValueFactory::GetString(unsigned int, bool, v8::internal::Vector<unsigned char const>)
      9    0.0%    0.0%  t void v8::internal::LookupIterator::NextInternal<false>(v8::internal::Map*, v8::internal::JSReceiver*)
      9    0.0%    0.0%  t v8::internal::String::Flatten(v8::internal::Handle<v8::internal::String>, v8::internal::PretenureFlag)
      9    0.0%    0.0%  t v8::internal::Property::GetAssignType(v8::internal::Property*)
      9    0.0%    0.0%  t v8::internal::PagedSpace::Available()
      9    0.0%    0.0%  t v8::internal::FuncNameInferrer::State::~State()
      9    0.0%    0.0%  t v8::internal::(anonymous namespace)::CallInternal(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*, v8::internal::Execution::MessageHandling)
      9    0.0%    0.0%  t _mach_msg_destroy_port
      9    0.0%    0.0%  T v8::internal::interpreter::ConstantArrayBuilder::ToFixedArray(v8::internal::Isolate*)
      9    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::VisitForAccumulatorValue(v8::internal::Expression*)
      9    0.0%    0.0%  T v8::internal::VariableMap::Lookup(v8::internal::AstRawString const*)
      9    0.0%    0.0%  T v8::internal::Scope::Snapshot::Snapshot(v8::internal::Scope*)
      9    0.0%    0.0%  T v8::internal::Scope::MustAllocate(v8::internal::Variable*)
      9    0.0%    0.0%  T v8::internal::Scope::LookupRecursive(v8::internal::VariableProxy*, v8::internal::Scope*)
      9    0.0%    0.0%  T v8::internal::Scope::AllocateVariablesRecursively()
      9    0.0%    0.0%  T v8::internal::Scanner::PeekAhead()
      9    0.0%    0.0%  T v8::internal::RelocIterator::RelocIterator(v8::internal::Code*, int)
      9    0.0%    0.0%  T v8::internal::RegExpImpl::SetLastMatchInfo(v8::internal::Handle<v8::internal::RegExpMatchInfo>, v8::internal::Handle<v8::internal::String>, int, int*)
      9    0.0%    0.0%  T v8::internal::Log::MessageBuilder::Append(char const*, ...)
      9    0.0%    0.0%  T v8::internal::Heap::InitializeJSObjectFromMap(v8::internal::JSObject*, v8::internal::Object*, v8::internal::Map*)
      9    0.0%    0.0%  T v8::internal::Heap::AdjustLiveBytes(v8::internal::HeapObject*, int)
      9    0.0%    0.0%  T v8::internal::Handle<v8::internal::FeedbackMetadata> v8::internal::FeedbackMetadata::New<v8::internal::FeedbackVectorSpec>(v8::internal::Isolate*, v8::internal::FeedbackVectorSpec const*)
      9    0.0%    0.0%  T _mig_deallocate
      9    0.0%    0.0%  T __platform_bzero
      9    0.0%    0.0%  T ___malloc_init
      8    0.0%    0.0%  t void std::__1::vector<unsigned char, v8::internal::ZoneAllocator<unsigned char> >::__push_back_slow_path<unsigned char const&>(unsigned char const&&&)
      8    0.0%    0.0%  t v8::internal::InternalizedStringTableCleaner::VisitPointers(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object**)
      8    0.0%    0.0%  t v8::internal::CodeEventDispatcher::CodeCreateEvent(v8::internal::CodeEventListener::LogEventsAndTags, v8::internal::AbstractCode*, v8::internal::SharedFunctionInfo*, v8::internal::Name*, int, int)
      8    0.0%    0.0%  t ___printf_render_vis
      8    0.0%    0.0%  t ___printf_render_time
      8    0.0%    0.0%  T v8::internal::interpreter::BytecodeRegisterOptimizer::PrepareOutputRegister(v8::internal::interpreter::Register)
      8    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::BuildVariableAssignment(v8::internal::Variable*, v8::internal::Token::Value, v8::internal::FeedbackSlot, v8::internal::HoleCheckMode, v8::internal::LookupHoistingMode)
      8    0.0%    0.0%  T v8::internal::Zone::Zone(v8::internal::AccountingAllocator*, char const*)
      8    0.0%    0.0%  T v8::internal::Script::InitLineEnds(v8::internal::Handle<v8::internal::Script>)
      8    0.0%    0.0%  T v8::internal::RelocIterator::next()
      8    0.0%    0.0%  T v8::internal::Parser::ParseFunction(v8::internal::AstRawString const*, int, v8::internal::FunctionKind, v8::internal::FunctionLiteral::FunctionType, v8::internal::DeclarationScope*, int*, int*, bool*, int*, bool*)
      8    0.0%    0.0%  T v8::internal::Logger::CodeCreateEvent(v8::internal::CodeEventListener::LogEventsAndTags, v8::internal::AbstractCode*, v8::internal::SharedFunctionInfo*, v8::internal::Name*, int, int)
      8    0.0%    0.0%  T v8::internal::IncrementalMarking::ProcessWeakCells()
      8    0.0%    0.0%  T v8::internal::Heap::CreateFillerObjectAt(unsigned char*, int, v8::internal::ClearRecordedSlots)
      8    0.0%    0.0%  T v8::internal::Heap::Contains(v8::internal::HeapObject*)
      8    0.0%    0.0%  T v8::internal::Heap::AllocateBytecodeArray(int, unsigned char const*, int, int, v8::internal::FixedArray*)
      8    0.0%    0.0%  T v8::internal::Factory::NewFixedArray(int, v8::internal::PretenureFlag)
      8    0.0%    0.0%  T v8::internal::Factory::NewConsString(v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::String>)
      8    0.0%    0.0%  T v8::internal::EscapeRegExpSource(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>)
      8    0.0%    0.0%  T v8::internal::ConsString::ConsStringGet(int)
      8    0.0%    0.0%  T v8::internal::Builtins::AllowDynamicFunction(v8::internal::Isolate*, v8::internal::Handle<v8::internal::JSFunction>, v8::internal::Handle<v8::internal::JSObject>)
      8    0.0%    0.0%  T v8::internal::AstRawString::Compare(void*, void*)
      8    0.0%    0.0%  T _swprintf
      8    0.0%    0.0%  T ___pthread_init
      7    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseReturnStatement(bool*)
      7    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseFunctionBody(v8::internal::ZoneList<v8::internal::Statement*>*, v8::internal::AstRawString const*, int, v8::internal::ParserFormalParameters const&, v8::internal::FunctionKind, v8::internal::FunctionLiteral::FunctionType, bool*)
      7    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::BindingPatternUnexpectedToken()
      7    0.0%    0.0%  t v8::base::TemplateHashMapImpl<long, unsigned int, v8::base::KeyEqualityMatcher<long>, v8::internal::ZoneAllocationPolicy>::Initialize(unsigned int, v8::internal::ZoneAllocationPolicy)
      7    0.0%    0.0%  t _mvm_allocate_pages_securely
      7    0.0%    0.0%  T void node::StreamBase::JSMethod<node::LibuvStreamWrap, &(int node::StreamBase::WriteString<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.0%    0.0%  T v8::internal::interpreter::ConstantArrayBuilder::ConstantArraySlice::Allocate(v8::internal::interpreter::ConstantArrayBuilder::Entry, unsigned long)
      7    0.0%    0.0%  T v8::internal::interpreter::BytecodeRegisterOptimizer::BytecodeRegisterOptimizer(v8::internal::Zone*, v8::internal::interpreter::BytecodeRegisterAllocator*, int, int, v8::internal::interpreter::BytecodeRegisterOptimizer::BytecodeWriter*)
      7    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::GenerateBytecodeBody()
      7    0.0%    0.0%  T v8::internal::StackFrameIterator::Reset(v8::internal::ThreadLocalTop*)
      7    0.0%    0.0%  T v8::internal::SourcePositionTableBuilder::ToSourcePositionTable(v8::internal::Isolate*, v8::internal::Handle<v8::internal::AbstractCode>)
      7    0.0%    0.0%  T v8::internal::SharedFunctionInfo::InitFromFunctionLiteral(v8::internal::Handle<v8::internal::SharedFunctionInfo>, v8::internal::FunctionLiteral*)
      7    0.0%    0.0%  T v8::internal::RegExpImpl::IrregexpExecRaw(v8::internal::Handle<v8::internal::JSRegExp>, v8::internal::Handle<v8::internal::String>, int, int*, int)
      7    0.0%    0.0%  T v8::internal::CompilationInfo::CompilationInfo(v8::internal::Zone*, v8::internal::ParseInfo*, v8::internal::Isolate*, v8::internal::Handle<v8::internal::JSFunction>)
      7    0.0%    0.0%  T _malloc
      7    0.0%    0.0%  T _getpid
      6    0.0%    0.0%  t v8::internal::StringSharedKey::StringSharedKey(v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::SharedFunctionInfo>, v8::internal::LanguageMode, int)
      6    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseFormalParameter(v8::internal::ParserFormalParameters*, bool*)
      6    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::FunctionState::FunctionState(v8::internal::ParserBase<v8::internal::Parser>::FunctionState**, v8::internal::Scope**, v8::internal::DeclarationScope*)
      6    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ArrowFormalParametersUnexpectedToken()
      6    0.0%    0.0%  t v8::internal::LookupIterator::LookupIterator(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::LookupIterator::Configuration)
      6    0.0%    0.0%  t v8::internal::JSObject::EnsureCanContainElements(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::FixedArrayBase>, unsigned int, v8::internal::EnsureElementsMode)
      6    0.0%    0.0%  t std::__1::enable_if<(__is_forward_iterator<unsigned char*>::value) && (is_constructible<unsigned char, std::__1::iterator_traits<unsigned char*>::reference>::value), void>::type std::__1::vector<unsigned char, v8::internal::ZoneAllocator<unsigned char> >::assign<unsigned char*>(unsigned char*, unsigned char*)
      6    0.0%    0.0%  t int v8::internal::BinarySearch<(v8::internal::SearchMode)0, v8::internal::TransitionArray>(v8::internal::TransitionArray*, v8::internal::Name*, int, int*)
      6    0.0%    0.0%  T v8::internal::interpreter::ConstantArrayBuilder::Entry::ToHandle(v8::internal::Isolate*) const
      6    0.0%    0.0%  T v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterTransfer(v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*, v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*)
      6    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::BuildVariableLoad(v8::internal::Variable*, v8::internal::FeedbackSlot, v8::internal::HoleCheckMode, v8::internal::TypeofMode)
      6    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::AllocateDeferredConstants(v8::internal::Isolate*)
      6    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayWriter::Write(v8::internal::interpreter::BytecodeNode*)
      6    0.0%    0.0%  T v8::internal::compiler::GraphReducer::ReduceTop()
      6    0.0%    0.0%  T v8::internal::StringTable::LookupKey(v8::internal::Isolate*, v8::internal::StringTableKey*)
      6    0.0%    0.0%  T v8::internal::String::SlowEquals(v8::internal::String*)
      6    0.0%    0.0%  T v8::internal::String::GetFlatContent()
      6    0.0%    0.0%  T v8::internal::StackTraceFrameIterator::IsValidFrame(v8::internal::StackFrame*) const
      6    0.0%    0.0%  T v8::internal::Scope::Scope(v8::internal::Zone*, v8::internal::Scope*, v8::internal::ScopeType)
      6    0.0%    0.0%  T v8::internal::Parser::SetFunctionName(v8::internal::Expression*, v8::internal::AstRawString const*, v8::internal::AstRawString const*)
      6    0.0%    0.0%  T v8::internal::Log::MessageBuilder::AppendVA(char const*, __va_list_tag*)
      6    0.0%    0.0%  T v8::internal::IncrementalMarking::CanBeActivated()
      6    0.0%    0.0%  T v8::internal::Heap::AllocateWeakCell(v8::internal::HeapObject*)
      6    0.0%    0.0%  T v8::internal::HashTable<v8::internal::StringTable, v8::internal::StringTableShape>::FindInsertionEntry(unsigned int)
      6    0.0%    0.0%  T v8::internal::DescriptorArray::Sort()
      6    0.0%    0.0%  T v8::internal::AstValueFactory::GetOneByteStringInternal(v8::internal::Vector<unsigned char const>)
      6    0.0%    0.0%  T v8::internal::AstNumberingVisitor::Renumber(v8::internal::FunctionLiteral*)
      6    0.0%    0.0%  T v8::internal::Accessors::ArrayLengthSetter(v8::Local<v8::Name>, v8::Local<v8::Value>, v8::PropertyCallbackInfo<v8::Boolean> const&)
      6    0.0%    0.0%  T _tmpfile
      6    0.0%    0.0%  T _mig_allocate
      6    0.0%    0.0%  T _malloc_set_zone_name
      6    0.0%    0.0%  T ___bsdthread_terminate
      5    0.0%    0.0%  t v8::internal::StatsCounter::Increment(int)
      5    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseMemberWithNewPrefixesExpression(bool*, bool*)
      5    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::IsTrivialExpression()
      5    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ExpectSemicolon(bool*)
      5    0.0%    0.0%  t v8::internal::AssignVectorSlots(v8::internal::Expression*, v8::internal::FeedbackVectorSpec*, v8::internal::LanguageMode, v8::internal::FeedbackSlot*)
      5    0.0%    0.0%  t v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastSloppyArgumentsElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)7> >::Slice(v8::internal::Handle<v8::internal::JSObject>, unsigned int, unsigned int)
      5    0.0%    0.0%  t v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastHoleyObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)3> >::GetDetails(v8::internal::JSObject*, unsigned int)
      5    0.0%    0.0%  t v8::base::TemplateHashMapImpl<void*, void*, v8::base::KeyEqualityMatcher<void*>, v8::internal::ZoneAllocationPolicy>::Probe(void* const&, unsigned int) const
      5    0.0%    0.0%  t v8::base::TemplateHashMapImpl<void*, void*, v8::base::KeyEqualityMatcher<void*>, v8::internal::ZoneAllocationPolicy>::FillEmptyEntry(v8::base::TemplateHashMapEntry<void*, void*>*, void* const&, void* const&, unsigned int, v8::internal::ZoneAllocationPolicy)
      5    0.0%    0.0%  t std::__1::__deque_base<v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*, v8::internal::RecyclingZoneAllocator<v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*> >::clear()
      5    0.0%    0.0%  t __GB18030_mbrtowc
      5    0.0%    0.0%  T v8::internal::interpreter::ConstantArrayBuilder::ConstantArrayBuilder(v8::internal::Zone*)
      5    0.0%    0.0%  T v8::internal::interpreter::BytecodeRegisterOptimizer::CreateMaterializedEquivalent(v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*)
      5    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::GenerateBytecode(unsigned long)
      5    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::BuildReturn(int)
      5    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::Return()
      5    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::BinaryOperation(v8::internal::Token::Value, v8::internal::interpreter::Register, int)
      5    0.0%    0.0%  T v8::internal::String::SlowFlatten(v8::internal::Handle<v8::internal::ConsString>, v8::internal::PretenureFlag)
      5    0.0%    0.0%  T v8::internal::Statement::IsJump() const
      5    0.0%    0.0%  T v8::internal::Scope::Declare(v8::internal::Zone*, v8::internal::AstRawString const*, v8::internal::VariableMode, v8::internal::VariableKind, v8::internal::InitializationFlag, v8::internal::MaybeAssignedFlag)
      5    0.0%    0.0%  T v8::internal::Scavenger::Process()
      5    0.0%    0.0%  T v8::internal::RootScavengeVisitor::ScavengePointer(v8::internal::Object**)
      5    0.0%    0.0%  T v8::internal::Rewriter::Rewrite(v8::internal::ParseInfo*, v8::internal::Isolate*)
      5    0.0%    0.0%  T v8::internal::RegExpImpl::IrregexpPrepare(v8::internal::Handle<v8::internal::JSRegExp>, v8::internal::Handle<v8::internal::String>)
      5    0.0%    0.0%  T v8::internal::Parser::ShortcutNumericLiteralBinaryExpression(v8::internal::Expression**, v8::internal::Expression*, v8::internal::Token::Value, int)
      5    0.0%    0.0%  T v8::internal::Parser::ParseFunction(v8::internal::Isolate*, v8::internal::ParseInfo*)
      5    0.0%    0.0%  T v8::internal::PagedSpace::EmptyAllocationInfo()
      5    0.0%    0.0%  T v8::internal::Object::ArraySpeciesConstructor(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>)
      5    0.0%    0.0%  T v8::internal::KeyAccumulator::CollectOwnPropertyNames(v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::Handle<v8::internal::JSObject>)
      5    0.0%    0.0%  T v8::internal::JSRegExp::Initialize(v8::internal::Handle<v8::internal::JSRegExp>, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::String>)
      5    0.0%    0.0%  T v8::internal::InnerPointerToCodeCache::GetCacheEntry(unsigned char*)
      5    0.0%    0.0%  T v8::internal::Heap::InitializeJSObjectBody(v8::internal::JSObject*, v8::internal::Map*, int)
      5    0.0%    0.0%  T v8::internal::Heap::AllocateStruct(v8::internal::InstanceType)
      5    0.0%    0.0%  T v8::internal::Heap::AllocateRawFixedArray(int, v8::internal::PretenureFlag)
      5    0.0%    0.0%  T v8::internal::HashTable<v8::internal::StringTable, v8::internal::StringTableShape>::Rehash(v8::internal::StringTable*)
      5    0.0%    0.0%  T v8::internal::FuncNameInferrer::PushVariableName(v8::internal::AstRawString const*)
      5    0.0%    0.0%  T v8::internal::Factory::NewOneByteInternalizedString(v8::internal::Vector<unsigned char const>, unsigned int)
      5    0.0%    0.0%  T v8::internal::Factory::NewJSArray(v8::internal::ElementsKind, v8::internal::PretenureFlag)
      5    0.0%    0.0%  T v8::internal::ContextSlotCache::Lookup(v8::internal::Object*, v8::internal::String*, v8::internal::VariableMode*, v8::internal::InitializationFlag*, v8::internal::MaybeAssignedFlag*)
      5    0.0%    0.0%  T v8::internal::CompilationCacheTable::PutEval(v8::internal::Handle<v8::internal::CompilationCacheTable>, v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::SharedFunctionInfo>, v8::internal::Handle<v8::internal::SharedFunctionInfo>, v8::internal::Handle<v8::internal::Context>, v8::internal::Handle<v8::internal::Cell>, int)
      5    0.0%    0.0%  T v8::internal::AccountingAllocator::AllocateSegment(unsigned long)
      5    0.0%    0.0%  T v8::internal::AccountingAllocator::AddSegmentToPool(v8::internal::Segment*)
      5    0.0%    0.0%  T _szone_error
      5    0.0%    0.0%  T _getsourcefilter
      5    0.0%    0.0%  T _fputws_l
      4    0.0%    0.0%  t v8::internal::interpreter::BytecodeGenerator::ContextScope::ContextScope(v8::internal::interpreter::BytecodeGenerator*, v8::internal::Scope*)
      4    0.0%    0.0%  t v8::internal::Scanner::~Scanner()
      4    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseStatementListItem(bool*)
      4    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::ParseFormalParameterList(v8::internal::ParserFormalParameters*, bool*)
      4    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::Expect(v8::internal::Token::Value, bool*)
      4    0.0%    0.0%  t v8::internal::ParserBase<v8::internal::Parser>::CheckAndRewriteReferenceExpression(v8::internal::Expression*, int, int, v8::internal::MessageTemplate::Template, v8::internal::ParseErrorType, bool*)
      4    0.0%    0.0%  t v8::internal::Parser::PatternRewriter::Visit(v8::internal::AstNode*)
      4    0.0%    0.0%  t v8::internal::Object* v8::internal::VisitWeakList<v8::internal::JSFunction>(v8::internal::Heap*, v8::internal::Object*, v8::internal::WeakObjectRetainer*)
      4    0.0%    0.0%  t v8::internal::MarkCompactCollector::RootMarkingVisitor::MarkObjectByPointer(v8::internal::Object**)
      4    0.0%    0.0%  t v8::internal::Handle<v8::internal::ConsString> v8::internal::Factory::New<v8::internal::ConsString>(v8::internal::Handle<v8::internal::Map>, v8::internal::AllocationSpace)
      4    0.0%    0.0%  t v8::internal::ExpressionClassifier<v8::internal::ParserTypes<v8::internal::Parser> >::RecordArrowFormalParametersError(v8::internal::Scanner::Location const&, v8::internal::MessageTemplate::Template, char const*)
      4    0.0%    0.0%  t v8::internal::ConsString* v8::internal::String::VisitFlat<v8::internal::StringCharacterStream>(v8::internal::StringCharacterStream*, v8::internal::String*, int)
      4    0.0%    0.0%  t v8::internal::AstNodeFactory::NewAssignment(v8::internal::Token::Value, v8::internal::Expression*, v8::internal::Expression*, int)
      4    0.0%    0.0%  t v8::internal::AllocationMemento* v8::internal::Heap::FindAllocationMemento<(v8::internal::Heap::FindMementoMode)0>(v8::internal::Map*, v8::internal::HeapObject*)
      4    0.0%    0.0%  t v8::internal::(anonymous namespace)::StoreLookupSlot(v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::Object>, v8::internal::LanguageMode, v8::internal::ContextLookupFlags)
      4    0.0%    0.0%  t v8::internal::(anonymous namespace)::LoadLookupSlot(v8::internal::Handle<v8::internal::String>, v8::internal::Object::ShouldThrow, v8::internal::Handle<v8::internal::Object>*)
      4    0.0%    0.0%  t v8::internal::(anonymous namespace)::GetUnoptimizedCode(v8::internal::CompilationInfo*, v8::internal::ConcurrencyMode)
      4    0.0%    0.0%  t v8::internal::(anonymous namespace)::EnsureSharedFunctionInfosArrayOnScript(v8::internal::CompilationInfo*)
      4    0.0%    0.0%  t v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastHoleyDoubleElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)5> >::GetDetails(v8::internal::JSObject*, unsigned int)
      4    0.0%    0.0%  t v8::internal::(anonymous namespace)::AppendCodeCreateHeader(v8::internal::Log::MessageBuilder*, v8::internal::CodeEventListener::LogEventsAndTags, v8::internal::AbstractCode*, v8::base::ElapsedTimer*)
      4    0.0%    0.0%  t v8::base::TemplateHashMapEntry<void*, void*>* v8::base::TemplateHashMapImpl<void*, void*, v8::base::KeyEqualityMatcher<void*>, v8::internal::ZoneAllocationPolicy>::LookupOrInsert<v8::base::TemplateHashMapImpl<void*, void*, v8::base::KeyEqualityMatcher<void*>, v8::internal::ZoneAllocationPolicy>::LookupOrInsert(void* const&, unsigned int, v8::internal::ZoneAllocationPolicy)::'lambda'()>(void* const&, unsigned int, v8::base::TemplateHashMapImpl<void*, void*, v8::base::KeyEqualityMatcher<void*>, v8::internal::ZoneAllocationPolicy>::LookupOrInsert(void* const&, unsigned int, v8::internal::ZoneAllocationPolicy)::'lambda'() const&, v8::internal::ZoneAllocationPolicy)
      4    0.0%    0.0%  t v8::base::TemplateHashMapEntry<void*, void*>* v8::base::TemplateHashMapImpl<void*, void*, v8::base::HashEqualityThenKeyMatcher<void*, bool (*)(void*, void*)>, v8::base::DefaultAllocationPolicy>::LookupOrInsert<v8::base::TemplateHashMapImpl<void*, void*, v8::base::HashEqualityThenKeyMatcher<void*, bool (*)(void*, void*)>, v8::base::DefaultAllocationPolicy>::LookupOrInsert(void* const&, unsigned int, v8::base::DefaultAllocationPolicy)::'lambda'()>(void* const&, unsigned int, v8::base::TemplateHashMapImpl<void*, void*, v8::base::HashEqualityThenKeyMatcher<void*, bool (*)(void*, void*)>, v8::base::DefaultAllocationPolicy>::LookupOrInsert(void* const&, unsigned int, v8::base::DefaultAllocationPolicy)::'lambda'() const&, v8::base::DefaultAllocationPolicy)
      4    0.0%    0.0%  t std::__1::vector<v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*, v8::internal::ZoneAllocator<v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*> >::__append(unsigned long)
      4    0.0%    0.0%  t std::__1::pair<std::__1::__tree_iterator<void const*, std::__1::__tree_node<void const*, void*>*, long>, bool> std::__1::__tree<void const*, std::__1::less<void const*>, std::__1::allocator<void const*> >::__emplace_unique_key_args<void const*, void const*>(void const* const&, void const*&&)
      4    0.0%    0.0%  t __vasprintf
      4    0.0%    0.0%  t ___printf_pad
      4    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::VisitBlock(v8::internal::Block*)
      4    0.0%    0.0%  T v8::internal::interpreter::BytecodeGenerator::BuildAddExpression(v8::internal::BinaryOperation*, v8::internal::interpreter::RegisterList*)
      4    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::StackCheck(int)
      4    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::CreateObjectLiteral(unsigned long, int, int, v8::internal::interpreter::Register)
      4    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::CreateClosure(unsigned long, int, int)
      4    0.0%    0.0%  T v8::internal::interpreter::BytecodeArrayBuilder::CallUndefinedReceiver(v8::internal::interpreter::Register, v8::internal::interpreter::RegisterList, int)
      4    0.0%    0.0%  T v8::internal::Zone::NewExpand(unsigned long)
      4    0.0%    0.0%  T v8::internal::TransitionArray::Insert(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Map>, v8::internal::SimpleTransitionFlag)
